Roadway Name,Date,AM,PM
Delafield Ave,2012-01-11,53.08333333333333,96.04166666666666
FOSTER ROAD,2012-01-11,143.91666666666669,293
FRANKLIN AV,2012-01-11,239,453.8333333333333
FRANKLIN AVE,2012-01-11,255.08333333333334,518.4166666666666
FULTON AVENUE,2012-01-11,173.16666666666669,270.75
Forest Ave,2012-01-11,264.60416666666663,493.7083333333333
GRAHAM AVENUE,2012-01-11,120.16666666666666,173.5
GREENE AVENUE,2012-01-11,43.25,81.66666666666667
GREENPOINT AVENUE,2012-01-11,131.41666666666666,175.41666666666669
HUGUENOT AVENUE,2012-01-11,180.25,327.5416666666667
HUMBOLDT STREET,2012-01-11,128.5,232.83333333333334
HYLAN BLVD,2012-01-11,287.2916666666667,492.875
KENT AVENUE,2012-01-11,162.08333333333334,295.5833333333333
KINGSLAND AVENUE,2012-01-11,168.25,203.75
KINGSTON AVE,2012-01-11,135.91666666666666,237.58333333333334
LEWIS AVE,2012-01-11,248.33333333333334,410.4166666666667
LITTLE CLOVE ROAD,2012-01-11,100.83333333333334,174.58333333333334
MALCOLM X BLVD,2012-01-11,166,268.41666666666663
MANOR RD,2012-01-11,173.8125,338.7916666666667
MARCUS GARVEY BLVD,2012-01-11,258.0833333333333,480.3333333333333
MARCY AVENUE,2012-01-11,241.75,376.3333333333333
MORGAN AVE,2012-01-11,232.45833333333331,303.66666666666663
NARROWS ROAD SOUTH,2012-01-11,61.416666666666664,95.16666666666667
NEW YORK AVE,2012-01-11,240.91666666666666,366.8333333333333
OCEAN TERRACE,2012-01-11,112.25,187.375
PARK AVENUE,2012-01-11,107.79166666666666,181.25
POST AVENUE,2012-01-11,114.75,334.5416666666667
PUTNAM AVE,2012-01-11,59.91666666666667,92.79166666666667
QUINCY ST,2012-01-11,40.54166666666667,74.125
RALPH AVE,2012-01-11,134.66666666666666,222
RICHMOND AVENUE,2012-01-11,343.45833333333337,650.5
RICHMOND ROAD,2012-01-11,222.04166666666669,404.45833333333337
ROCKAWAY AVE,2012-01-11,143.95833333333331,221.29166666666669
Richmond Ter,2012-01-11,226.41666666666669,355.4791666666667
SMITH ST,2012-01-11,233.16666666666666,323.3333333333333
STUYVESANT AVENUE,2012-01-11,131.75,278.8333333333333
TARGEE ST,2012-01-11,495.6666666666667,649.9166666666666
THROOP AVENUE,2012-01-11,146.91666666666666,215.625
TODT HILL RD,2012-01-11,288.875,522.875
TOMPKINS AVE,2012-01-11,236.5,430.9166666666667
TRAVIS AVENUE,2012-01-11,209.08333333333331,401.3333333333333
UNION AVENUE,2012-01-11,167.79166666666666,258.5
UNION ST,2012-01-11,130.08333333333334,240.66666666666666
VAN BRUNT ST,2012-01-11,132.25,163.41666666666666
VAN DUZER STREET,2012-01-11,267.5,427.5
VANDERBILT AVE,2012-01-11,189.04166666666669,275.375
VICTORY BOULEVARD,2012-01-11,316.34722222222223,555.125
WASHINGTON AVE,2012-01-11,73.20833333333333,118.54166666666667
WILLOWBROOK ROAD,2012-01-11,34.041666666666664,52.458333333333336
WOODROW ROAD,2012-01-11,115.83333333333334,211.5
WOOLLEY AVENUE,2012-01-11,273.41666666666663,435.66666666666663
7 AVE,2012-01-12,191.02083333333331,260.6041666666667
AMBOY ROAD,2012-01-12,196.41666666666666,374.9166666666667
ANNADALE ROAD,2012-01-12,52.54166666666667,95.375
ARDEN AVENUE,2012-01-12,155.04166666666666,309.25
ARTHUR KILL ROAD,2012-01-12,151.52083333333334,230.75
Amboy Rd,2012-01-12,268.4583333333333,471.54166666666663
BAY ST,2012-01-12,238.79166666666666,363.58333333333337
BEACH STREET,2012-01-12,53.95833333333333,107.625
BLOOMINGDALE ROAD,2012-01-12,128.95833333333334,279.5416666666667
BRADLEY AVENUE,2012-01-12,161.5,307.0416666666667
BRIELLE AVENUE,2012-01-12,124.25,204.20833333333331
CASTLETON AVENUE,2012-01-12,156.20833333333331,268.7083333333333
CLOVE RD,2012-01-12,167.70833333333331,275.75
DRUMGOOLE ROAD EAST,2012-01-12,40.08333333333333,57.916666666666664
DRUMGOOLE ROAD WEST,2012-01-12,49.666666666666664,96
Delafield Ave,2012-01-12,58.08333333333333,96.41666666666666
FOSTER ROAD,2012-01-12,140.08333333333331,268.95833333333337
FRANKLIN AV,2012-01-12,239.91666666666666,451.5833333333333
FRANKLIN AVE,2012-01-12,254.41666666666666,506.25
FULTON AVENUE,2012-01-12,172.16666666666666,274.2083333333333
Forest Ave,2012-01-12,253.87500000000003,487.70833333333337
GRAHAM AVENUE,2012-01-12,114.95833333333334,179.54166666666669
GREENE AVENUE,2012-01-12,47.916666666666664,91.08333333333333
GREENPOINT AVENUE,2012-01-12,136.08333333333331,190.95833333333334
HUGUENOT AVENUE,2012-01-12,171.08333333333331,308.1666666666667
HUMBOLDT STREET,2012-01-12,127.16666666666667,230.25
HYLAN BLVD,2012-01-12,292.08333333333337,482.2916666666667
KENT AVENUE,2012-01-12,148.33333333333334,286.4166666666667
KINGSLAND AVENUE,2012-01-12,184.16666666666666,197.33333333333334
KINGSTON AVE,2012-01-12,158.33333333333334,235.91666666666666
LEWIS AVE,2012-01-12,252.75,419
LITTLE CLOVE ROAD,2012-01-12,101.08333333333334,183.16666666666669
MALCOLM X BLVD,2012-01-12,162.16666666666669,265.625
MANOR RD,2012-01-12,169.64583333333331,327.39583333333337
MARCUS GARVEY BLVD,2012-01-12,258.1666666666667,477.8333333333333
MARCY AVENUE,2012-01-12,237.16666666666666,366.1666666666667
MORGAN AVE,2012-01-12,226.41666666666669,302.3333333333333
NARROWS ROAD SOUTH,2012-01-12,62.333333333333336,94.41666666666667
NEW YORK AVE,2012-01-12,245.5,362.8333333333333
